Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.068608	12	0	0	51	0.00512
1024	0.199219	204	0.09728	20	0	0	102	0.00512
1024	0.299805	307	0.057344	28	0	0	153	0.004096
1024	0.399414	409	0.128	36	0	0	204	0.00512
1024	0.5	512	0.018432	48	0	0	256	0.004096
1024	0.599609	614	0.14336	68	0	0	307	0.00512
1024	0.699219	716	0.069632	100	0	0	358	0.004096
1024	0.799805	819	0.026624	168	0	0	409	0.00512
1024	0.899414	921	0.038912	420	0	0	460	0.00512
16384	0.0999756	1638	0.06656	20	0	0	819	0.004096
16384	0.199951	3276	0.103072	28	0	0	1638	0.004096
16384	0.299988	4915	0.116736	36	0	0	2457	0.003072
16384	0.399963	6553	0.093184	52	0	0	3276	0.00512
16384	0.5	8192	0.048128	68	0	0	4096	0.006144
16384	0.599976	9830	0.06656	96	0	0	4915	0.00512
16384	0.699951	11468	0.022528	140	0	0	5734	0.00512
16384	0.799988	13107	0.079872	240	0	0	6553	0.00512
16384	0.899963	14745	0.104448	592	0	0	7372	0.005088
262144	0.0999985	26214	0.034816	24	0	0	13107	0.008064
262144	0.199997	52428	0.058368	36	0	0	26214	0.01536
262144	0.299999	78643	0.083968	48	0	0	39321	0.020256
262144	0.399998	104857	0.114688	68	0	0	52428	0.029696
262144	0.5	131072	0.149504	88	0	0	65536	0.037856
262144	0.599998	157286	0.1792	124	0	0	78643	0.047072
262144	0.699997	183500	0.24064	184	0	0	91750	0.062464
262144	0.799999	209715	0.300032	308	0	0	104857	0.072704
262144	0.899998	235929	0.467968	764	0	0	117964	0.085504
4194304	0.0999999	419430	0.782336	32	0	0	209715	0.19456
4194304	0.2	838860	1.59334	44	0	0	419430	0.386752
4194304	0.3	1258291	2.46579	60	0	0	629145	0.610784
4194304	0.4	1677721	3.4345	80	0	0	838860	0.876928
4194304	0.5	2097152	4.49946	112	0	0	1048576	1.16266
4194304	0.6	2516582	5.82144	152	0	0	1258291	1.52262
4194304	0.7	2936012	7.40966	224	0	0	1468006	1.95888
4194304	0.8	3355443	9.82118	380	0	0	1677721	2.46266
4194304	0.9	3774873	14.8582	932	0	0	1887436	3.05894
67108864	0.1	6710886	12.7273	36	0	0	3355443	3.03616
67108864	0.2	13421772	26.2103	52	0	0	6710886	6.28618
67108864	0.3	20132659	42.283	72	0	0	10066329	9.92634
67108864	0.4	26843545	59.5866	96	0	0	13421772	15.1777
67108864	0.5	33554432	94.3554	132	0	0	16777216	56.2473
67108864	0.6	40265318	100.403	180	0	0	20132659	26.3025
67108864	0.7	46976204	127.054	268	0	0	23488102	33.0086
67108864	0.8	53687091	168.062	448	0	0	26843545	41.92
67108864	0.9	60397977	604.811	1104	0	0	30198988	319.925
