Capacity	LoadFactor	InsertNumKVs	InsertTime	LookupNumKVs	LookupTime
1024	0.0996094	102	0.006144	51	0.00512
1024	0.199219	204	0.006144	102	0.00512
1024	0.299805	307	0.00512	153	0.004096
1024	0.399414	409	0.007168	204	0.003072
1024	0.5	512	0.009216	256	0.00512
1024	0.599609	614	0.009216	307	0.007168
1024	0.699219	716	0.01024	358	0.007168
1024	0.799805	819	0.018432	409	0.009216
1024	0.899414	921	0.021504	460	0.017408
16384	0.0999756	1638	0.00512	819	0.004096
16384	0.199951	3276	0.006144	1638	0.00512
16384	0.299988	4915	0.006144	2457	0.00512
16384	0.399963	6553	0.007168	3276	0.006144
16384	0.5	8192	0.008192	4096	0.007168
16384	0.599976	9830	0.010912	4915	0.01024
16384	0.699951	11468	0.021376	5734	0.017408
16384	0.799988	13107	0.024576	6553	0.021504
16384	0.899963	14745	0.114688	7372	0.113664
262144	0.0999985	26214	0.031136	13107	0.008544
262144	0.199997	52428	0.064064	26214	0.01536
262144	0.299999	78643	0.101152	39321	0.019808
262144	0.399998	104857	0.135072	52428	0.027392
262144	0.5	131072	0.173856	65536	0.033696
262144	0.599998	157286	0.21968	78643	0.040576
262144	0.699997	183500	0.28736	91750	0.047776
262144	0.799999	209715	0.358752	104857	0.055296
262144	0.899998	235929	0.625504	117964	0.063488
4194304	0.0999999	419430	1.15142	209715	0.18464
4194304	0.2	838860	2.3511	419430	0.360448
4194304	0.3	1258291	3.65978	629145	0.543712
4194304	0.4	1677721	4.89818	838860	0.733504
4194304	0.5	2097152	6.22352	1048576	0.974272
4194304	0.6	2516582	7.68205	1258291	1.16634
4194304	0.7	2936012	9.38902	1468006	1.32685
4194304	0.8	3355443	11.6335	1677721	1.54518
4194304	0.9	3774873	16.5914	1887436	1.7712
67108864	0.1	6710886	19.8941	3355443	2.92205
67108864	0.2	13421772	39.4852	6710886	5.90237
67108864	0.3	20132659	62.2623	10066329	9.00237
67108864	0.4	26843545	84.2531	13421772	12.9615
67108864	0.5	33554432	320.585	16777216	87.2755
67108864	0.6	40265318	148.496	20132659	23.042
67108864	0.7	46976204	172.871	23488102	22.6647
67108864	0.8	53687091	885.367	26843545	153.385
67108864	0.9	60397977	1707.05	30198988	181.415
