Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.063488	12	0	0	51	0.004096
1024	0.199219	204	0.06656	20	0	0	102	0.003072
1024	0.299805	307	0.064512	28	0	0	153	0.00512
1024	0.399414	409	0.048128	36	0	0	204	0.00512
1024	0.5	512	0.064512	48	0	0	256	0.00512
1024	0.599609	614	0.11264	68	0	0	307	0.00512
1024	0.699219	716	0.026624	100	0	0	358	0.004096
1024	0.799805	819	0.063488	168	0	0	409	0.004096
1024	0.899414	921	0.065536	420	0	0	460	0.004096
16384	0.0999756	1638	0.089088	20	0	0	819	0.00512
16384	0.199951	3276	0.048128	28	0	0	1638	0.004096
16384	0.299988	4915	0.058368	36	0	0	2457	0.00512
16384	0.399963	6553	0.110592	52	0	0	3276	0.004096
16384	0.5	8192	0.173056	68	0	0	4096	0.00512
16384	0.599976	9830	0.089088	96	0	0	4915	0.003072
16384	0.699951	11468	0.028672	140	0	0	5734	0.00512
16384	0.799988	13107	0.03584	240	0	0	6553	0.00512
16384	0.899963	14745	0.11264	592	0	0	7372	0.006144
262144	0.0999985	26214	0.070656	24	0	0	13107	0.007904
262144	0.199997	52428	0.062464	36	0	0	26214	0.0152
262144	0.299999	78643	0.09216	48	0	0	39321	0.022464
262144	0.399998	104857	0.125952	68	0	0	52428	0.030496
262144	0.5	131072	0.161792	88	0	0	65536	0.039328
262144	0.599998	157286	0.21504	124	0	0	78643	0.048608
262144	0.699997	183500	0.273408	184	0	0	91750	0.061024
262144	0.799999	209715	0.39936	308	0	0	104857	0.072672
262144	0.899998	235929	1.30048	764	24	1	117964	0.081408
4194304	0.0999999	419430	0.806912	32	0	0	209715	0.195584
4194304	0.2	838860	1.68448	44	0	0	419430	0.407808
4194304	0.3	1258291	2.69005	60	0	0	629145	0.656896
4194304	0.4	1677721	3.84102	80	0	0	838860	0.952096
4194304	0.5	2097152	5.21523	112	0	0	1048576	1.32349
4194304	0.6	2516582	6.91917	152	0	0	1258291	1.73312
4194304	0.7	2936012	9.2375	224	0	0	1468006	2.2487
4194304	0.8	3355443	13.0662	380	0	0	1677721	2.85126
4194304	0.9	3774873	34.8447	932	81	65	1887436	3.22048
67108864	0.1	6710886	13.1564	36	0	0	3355443	3.12403
67108864	0.2	13421772	28.7498	52	0	0	6710886	6.71693
67108864	0.3	20132659	46.4241	72	0	0	10066329	10.9008
67108864	0.4	26843545	66.0726	96	0	0	13421772	16.3958
67108864	0.5	33554432	89.7925	132	0	0	16777216	22.3915
67108864	0.6	40265318	119.138	180	0	0	20132659	29.6451
67108864	0.7	46976204	158.384	268	0	0	23488102	38.7052
67108864	0.8	53687091	224.378	448	0	0	26843545	48.8032
67108864	0.9	60397977	498.889	1104	7	0	30198988	56.0978
