Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.054304	12	0	0	51	0.004096
1024	0.199219	204	0.166912	20	0	0	102	0.004096
1024	0.299805	307	0.0768	28	0	0	153	0.004096
1024	0.399414	409	0.024576	36	0	0	204	0.003072
1024	0.5	512	0.022528	48	0	0	256	0.004096
1024	0.599609	614	0.284672	68	6	0	307	0.00512
1024	0.699219	716	0.123904	100	24	1	358	0.00512
1024	0.799805	819	0.063488	168	40	10	409	0.00512
1024	0.899414	921	0.136192	420	58	35	460	0.00512
16384	0.0999756	1638	0.060416	20	0	0	819	0.004096
16384	0.199951	3276	0.088064	28	0	0	1638	0.004096
16384	0.299988	4915	0.095232	36	0	0	2457	0.00512
16384	0.399963	6553	0.057344	52	0	0	3276	0.004096
16384	0.5	8192	0.06656	68	0	0	4096	0.004096
16384	0.599976	9830	0.037888	96	51	13	4915	0.00512
16384	0.699951	11468	0.166912	140	98	274	5734	0.00512
16384	0.799988	13107	0.186368	240	101	813	6553	0.00512
16384	0.899963	14745	0.338944	592	101	1640	7372	0.006144
262144	0.0999985	26214	0.036864	24	0	0	13107	0.007744
262144	0.199997	52428	0.059392	36	0	0	26214	0.01536
262144	0.299999	78643	0.09728	48	0	0	39321	0.020864
262144	0.399998	104857	0.136192	68	0	0	52428	0.0296
262144	0.5	131072	0.19968	88	2	0	65536	0.036128
262144	0.599998	157286	0.339968	124	101	894	78643	0.04544
262144	0.699997	183500	1.04755	184	101	5461	91750	0.053248
262144	0.799999	209715	3.7161	308	101	14293	104857	0.05984
262144	0.899998	235929	17.3558	764	101	26901	117964	0.070336
4194304	0.0999999	419430	0.805888	32	0	0	209715	0.193536
4194304	0.2	838860	1.71008	44	0	0	419430	0.401376
4194304	0.3	1258291	2.75046	60	0	0	629145	0.632832
4194304	0.4	1677721	4.15437	80	0	0	838860	0.890336
4194304	0.5	2097152	6.20749	112	13	1	1048576	1.15501
4194304	0.6	2516582	18.9491	152	101	16333	1258291	1.43667
4194304	0.7	2936012	72.6589	224	101	91627	1468006	1.73514
4194304	0.8	3355443	248.438	380	101	232705	1677721	2.03958
4194304	0.9	3774873	1049.92	932	101	431821	1887436	2.65114
67108864	0.1	6710886	13.0836	36	0	0	3355443	3.09443
67108864	0.2	13421772	28.7181	52	0	0	6710886	6.56765
67108864	0.3	20132659	46.7794	72	0	0	10066329	10.4796
67108864	0.4	26843545	70.7512	96	0	0	13421772	14.6877
67108864	0.5	33554432	224.237	132	83	89	16777216	97.1068
67108864	0.6	40265318	528.389	180	101	228197	20132659	123.152
67108864	0.7	46976204	1407.8	268	101	1347026	23488102	29.7199
67108864	0.8	53687091	10784.6	448	101	3511924	26843545	174.431
67108864	0.9	60397977	43866.6	1104	101	6591882	30198988	201.807
